d,y,U_hat,in_genesis_segment
1.0,0.01,0.18749687507770962,1
1.0,0.010050602309159168,0.18749684337283062,1
1.0,0.01010146067768756,0.1874968113462879,1
1.0,0.010152576401304713,0.18749677899481823,1
1.0,0.010203950782286803,0.1874967463151252,1
1.0,0.010255585129499829,0.18749671330387893,1
1.0,0.01030748075843294,0.18749667995771582,1
1.0,0.010359638991231981,0.1874966462732382,1
1.0,0.010412061156733151,0.1874966122470138,1
1.0,0.010464748590496868,0.18749657787557572,1
1.0,0.010517702634841797,0.1874965431554216,1
1.0,0.010570924638879044,0.18749650808301388,1
1.0,0.010624415958546525,0.18749647265477884,1
1.0,0.010678177956643529,0.18749643686710676,1
1.0,0.010732212002865397,0.1874964007163511,1
1.0,0.01078651947383847,0.18749636419882845,1
1.0,0.010841101753155127,0.18749632731081792,1
1.0,0.010895960231409043,0.18749629004856108,1
1.0,0.010951096306230618,0.18749625240826112,1
1.0,0.011006511382322589,0.1874962143860829,1
1.0,0.011062206871495808,0.1874961759781523,1
1.0,0.011118184192705225,0.18749613718055597,1
1.0,0.011174444772086008,0.18749609798934075,1
1.0,0.011230990042989924,0.1874960584005135,1
1.0,0.011287821446021815,0.1874960184100405,1
1.0,0.011344940429076324,0.1874959780138471,1
1.0,0.01140234844737477,0.18749593720781746,1
1.0,0.011460046963502233,0.18749589598779381,1
1.0,0.011518037447444805,0.18749585434957625,1
1.0,0.011576321376627058,0.1874958122889224,1
1.0,0.011634900235949656,0.18749576980154672,1
1.0,0.011693775517827215,0.18749572688312025,1
1.0,0.011752948722226316,0.18749568352927007,1
1.0,0.01181242135670371,0.18749563973557892,1
1.0,0.011872194936444739,0.18749559549758485,1
1.0,0.011932270984301928,0.1874955508107805,1
1.0,0.01199265103083379,0.1874955056706129,1
1.0,0.012053336614343822,0.18749546007248277,1
1.0,0.012114329280919676,0.18749541401174435,1
1.0,0.012175630584472583,0.18749536748370457,1
1.0,0.012237242086776914,0.1874953204836229,1
1.0,0.01229916535750998,0.18749527300671065,1
1.0,0.012361401974292027,0.18749522504813065,1
1.0,0.012423953522726414,0.1874951766029965,1
1.0,0.012486821596440028,0.18749512766637244,1
1.0,0.012550007797123877,0.18749507823327247,1
1.0,0.01261351373457388,0.18749502829866016,1
1.0,0.012677341026731914,0.18749497785744787,1
1.0,0.012741491299727003,0.1874949269044964,1
1.0,0.012805966187916766,0.18749487543461454,1
1.0,0.012870767333929048,0.18749482344255822,1
1.0,0.012935896388703768,0.18749477092303035,1
1.0,0.013001355011534984,0.18749471787068,1
1.0,0.013067144870113163,0.18749466428010209,1
1.0,0.01313326764056768,0.18749461014583657,1
1.0,0.01319972500750949,0.18749455546236815,1
1.0,0.01326651866407409,0.18749450022412548,1
1.0,0.013333650311964625,0.1874944444254808,1
1.0,0.013401121661495253,0.18749438806074917,1
1.0,0.013468934431634714,0.18749433112418806,1
1.0,0.013537090350050128,0.18749427360999674,1
1.0,0.013605591153151018,0.18749421551231557,1
1.0,0.013674438586133517,0.1874941568252255,1
1.0,0.013743634403024875,0.18749409754274737,1
1.0,0.01381318036672812,0.18749403765884162,1
1.0,0.013883078249066972,0.18749397716740707,1
1.0,0.013953329830830993,0.18749391606228102,1
1.0,0.014023936901820949,0.18749385433723803,1
1.0,0.01409490126089441,0.18749379198598962,1
1.0,0.014166224716011583,0.18749372900218347,1
1.0,0.014237909084281377,0.18749366537940293,1
1.0,0.01430995619200767,0.18749360111116617,1
1.0,0.014382367874735883,0.18749353619092565,1
1.0,0.01445514597729971,0.18749347061206753,1
1.0,0.014528292353868133,0.1874934043679107,1
1.0,0.014601808867992654,0.18749333745170646,1
1.0,0.014675697392654778,0.18749326985663756,1
1.0,0.014749959810313738,0.1874932015758177,1
1.0,0.014824598012954418,0.1874931326022906,1
1.0,0.014899613902135608,0.18749306292902965,1
1.0,0.01497500938903842,0.1874929925489367,1
1.0,0.015050786394514976,0.1874929214548419,1
1.0,0.015126946849137362,0.18749284963950244,1
1.0,0.015203492693246798,0.18749277709560228,1
1.0,0.01528042587700308,0.18749270381575098,1
1.0,0.015357748360434267,0.18749262979248327,1
1.0,0.015435462113486615,0.18749255501825818,1
1.0,0.015513569116074741,0.18749247948545814,1
1.0,0.015592071358132115,0.1874924031863885,1
1.0,0.015670970839661718,0.18749232611327643,1
1.0,0.015750269570787005,0.18749224825827038,1
1.0,0.015829969571803125,0.1874921696134391,1
1.0,0.015910072873228386,0.1874920901707709,1
1.0,0.015990581515855994,0.18749200992217302,1
1.0,0.016071497550806016,0.18749192885947036,1
1.0,0.016152823039577685,0.1874918469744051,1
1.0,0.016234560054101888,0.1874917642586356,1
1.0,0.016316710676793963,0.18749168070373573,1
1.0,0.016399277000606748,0.18749159630119372,1
1.0,0.0164822611290839,0.1874915110424117,1
1.0,0.016565665176413506,0.18749142491870452,1
1.0,0.01664949126748192,0.18749133792129885,1
1.0,0.016733741537927917,0.18749125004133257,1
1.0,0.01681841813419711,0.18749116126985363,1
1.0,0.016903523213596592,0.18749107159781914,1
1.0,0.01698905894434995,0.18749098101609457,1
1.0,0.017075027505652485,0.18749088951545276,1
1.0,0.017161431087726716,0.18749079708657299,1
1.0,0.017248271891878206,0.18749070372004004,1
1.0,0.01733555213055163,0.18749060940634307,1
1.0,0.01742327402738714,0.18749051413587503,1
1.0,0.017511439817277017,0.1874904178989313,1
1.0,0.017600051746422617,0.18749032068570887,1
1.0,0.017689112072391603,0.18749022248630545,1
1.0,0.017778623064175436,0.1874901232907181,1
1.0,0.017868587002247208,0.18749002308884274,1
1.0,0.01795900617861973,0.18748992187047256,1
1.0,0.018049882896903922,0.1874898196252975,1
1.0,0.018141219472367513,0.18748971634290276,1
1.0,0.01823301823199403,0.18748961201276806,1
1.0,0.01832528151454204,0.18748950662426644,1
1.0,0.018418011670604802,0.18748940016666318,1
1.0,0.018511211062670115,0.18748929262911462,1
1.0,0.0186048820651805,0.18748918400066727,1
1.0,0.018699027064593712,0.1874890742702566,1
1.0,0.018793648459443545,0.18748896342670576,1
1.0,0.018888748660400894,0.18748885145872463,1
1.0,0.018984330090335236,0.18748873835490873,1
1.0,0.01908039518437632,0.18748862410373782,1
1.0,0.01917694638997621,0.1874885086935749,1
1.0,0.019273986166971648,0.18748839211266496,1
1.0,0.019371516987646713,0.18748827434913384,1
1.0,0.01946954133679581,0.18748815539098704,1
1.0,0.019568061711786985,0.1874880352261083,1
1.0,0.019667080622625534,0.18748791384225869,1
1.0,0.019766600592017975,0.18748779122707507,1
1.0,0.01986662415543629,0.187487667368069,1
1.0,0.019967153861182533,0.1874875422526255,1
1.0,0.020068192270453755,0.18748741586800155,1
1.0,0.02016974195740727,0.18748728820132513,1
1.0,0.020271805509226207,0.18748715923959347,1
1.0,0.020374385526185444,0.1874870289696722,1
1.0,0.020477484621717865,0.18748689737829372,1
1.0,0.020581105422480896,0.1874867644520559,1
1.0,0.020685250568423477,0.18748663017742076,1
1.0,0.0207899227128533,0.18748649454071306,1
1.0,0.0208951245225044,0.18748635752811893,1
1.0,0.021000858677605108,0.18748621912568456,1
1.0,0.021107127871946324,0.18748607931931452,1
1.0,0.02121393481295016,0.18748593809477057,1
1.0,0.02132128222173889,0.18748579543767016,1
1.0,0.02142917283320432,0.1874856513334849,1
1.0,0.021537609396077437,0.18748550576753917,1
1.0,0.021646594672998412,0.18748535872500852,1
1.0,0.021756131440587037,0.18748521019091818,1
1.0,0.021866222489513445,0.18748506015014177,1
1.0,0.021976870624569197,0.18748490858739947,1
1.0,0.022088078664738747,0.18748475548725646,1
1.0,0.02219984944327127,0.1874846008341217,1
1.0,0.02231218580775281,0.18748444461224592,1
1.0,0.022425090620178882,0.18748428680572027,1
1.0,0.022538566757027347,0.1874841273984747,1
1.0,0.022652617109331714,0.18748396637427617,1
1.0,0.022767244582754777,0.1874838037167272,1
1.0,0.022882452097662674,0.18748363940926402,1
1.0,0.022998242589199254,0.187483473435155,1
1.0,0.023114619007360875,0.187483305777499,1
1.0,0.02323158431707156,0.18748313641922348,1
1.0,0.023349141498258546,0.1874829653430829,1
1.0,0.02346729354592815,0.18748279253165687,1
1.0,0.023586043470242152,0.1874826179673485,1
1.0,0.023705394296594427,0.18748244163238262,1
1.0,0.02382534906568805,0.18748226350880373,1
1.0,0.023945910833612756,0.1874820835784745,1
1.0,0.024067082671922806,0.18748190182307367,1
1.0,0.024188867667715195,0.18748171822409446,1
1.0,0.024311268923708388,0.1874815327628423,1
1.0,0.024434289558321304,0.1874813454204334,1
1.0,0.024557932705752784,0.18748115617779237,1
1.0,0.02468220151606144,0.18748096501565065,1
1.0,0.024807099155245902,0.1874807719145444,1
1.0,0.024932628805325492,0.18748057685481245,1
1.0,0.025058793664421278,0.18748037981659446,1
1.0,0.025185596946837564,0.18748018077982884,1
1.0,0.025313041883143785,0.1874799797242506,1
1.0,0.025441131720256766,0.18747977662938942,1
1.0,0.02556986972152352,0.1874795714745677,1
1.0,0.02569925916680434,0.18747936423889808,1
1.0,0.02582930335255636,0.18747915490128172,1
1.0,0.02596000559191756,0.1874789434404059,1
1.0,0.026091369214791167,0.18747872983474187,1
1.0,0.026223397567930455,0.18747851406254293,1
1.0,0.026356094015024076,0.18747829610184183,1
1.0,0.02648946193678171,0.18747807593044882,1
1.0,0.026623504731020212,0.18747785352594937,1
1.0,0.02675822581275018,0.18747762886570174,1
1.0,0.026893628614262942,0.18747740192683476,1
1.0,0.027029716585218022,0.18747717268624567,1
1.0,0.02716649319273101,0.1874769411205975,1
1.0,0.027303961921461912,0.1874767072063169,1
1.0,0.027442126273703907,0.18747647091959171,1
1.0,0.02758098976947261,0.1874762322363684,1
1.0,0.02772055594659568,0.18747599113234986,1
1.0,0.027860828360803048,0.18747574758299276,1
1.0,0.028001810585817435,0.1874755015635052,1
1.0,0.028143506213445437,0.18747525304884405,1
1.0,0.02828591885366901,0.18747500201371242,1
1.0,0.028429052134737474,0.1874747484325573,1
1.0,0.028572909703259885,0.1874744922795666,1
1.0,0.02871749522429802,0.18747423352866704,1
1.0,0.028862812381459706,0.18747397215352096,1
1.0,0.029008864876992675,0.18747370812752398,1
1.0,0.029155656431878885,0.18747344142380223,1
1.0,0.02930319078592933,0.18747317201520972,1
1.0,0.029451471697879296,0.18747289987432528,1
1.0,0.029600502945484154,0.18747262497345007,1
1.0,0.02975028832561558,0.18747234728460482,1
1.0,0.029900831654358313,0.18747206677952666,1
1.0,0.030052136767107322,0.18747178342966656,1
1.0,0.0302042075186656,0.1874714972061863,1
1.0,0.03035704778334232,0.18747120807995551,1
1.0,0.03051066145505155,0.18747091602154894,1
1.0,0.030665052447411474,0.1874706210012432,1
1.0,0.030820224693844094,0.18747032298901384,1
1.0,0.030976182147675387,0.18747002195453238,1
1.0,0.031132928782236124,0.1874697178671632,1
1.0,0.03129046859096303,0.18746941069596038,1
1.0,0.031448805587500545,0.18746910040966466,1
1.0,0.031607943805803076,0.18746878697670016,1
1.0,0.03176788730023776,0.18746847036517128,1
1.0,0.03192864014568778,0.18746815054285934,1
1.0,0.03209020643765618,0.18746782747721955,1
1.0,0.03225259029237016,0.18746750113537744,1
1.0,0.03241579584688601,0.18746717148412564,1
1.0,0.032579827259194484,0.18746683848992063,1
1.0,0.03274468870832669,0.18746650211887916,1
1.0,0.03291038439446064,0.18746616233677496,1
1.0,0.033076918539028194,0.18746581910903506,1
1.0,0.03324429538482266,0.1874654724007367,1
1.0,0.03341251919610681,0.18746512217660333,1
1.0,0.03358159425872161,0.1874647684010012,1
1.0,0.03375152488019537,0.18746441103793599,1
1.0,0.03392231538985348,0.1874640500510488,1
1.0,0.03409397013892869,0.1874636854036127,1
1.0,0.03426649350067204,0.18746331705852892,1
1.0,0.03443988987046421,0.1874629449783232,1
1.0,0.0346141636659275,0.18746256912514173,1
1.0,0.03478931932703843,0.1874621894607477,1
1.0,0.03496536131624081,0.18746180594651718,1
1.0,0.03514229411855946,0.18746141854343512,1
1.0,0.03532012224171445,0.1874610272120918,1
1.0,0.03549885021623594,0.1874606319126784,1
1.0,0.03567848259557963,0.1874602326049832,1
1.0,0.03585902395624278,0.18745982924838744,1
1.0,0.036040478897880784,0.18745942180186137,1
1.0,0.03622285204342429,0.18745901022395978,1
1.0,0.0364061480391971,0.18745859447281815,1
1.0,0.036590371555034494,0.1874581745061482,1
1.0,0.036775527284402164,0.18745775028123363,1
1.0,0.036961619944515835,0.1874573217549259,1
1.0,0.03714865427646145,0.18745688888363982,1
1.0,0.0373366350453159,0.18745645162334912,1
1.0,0.037525567040268513,0.18745600992958192,1
1.0,0.037715455074742985,0.18745556375741643,1
1.0,0.03790630398652007,0.1874551130614763,1
1.0,0.0380981186378608,0.187454657795926,1
1.0,0.03829090391563037,0.18745419791446616,1
1.0,0.03848466473142267,0.18745373337032903,1
1.0,0.038679406021685306,0.18745326411627364,1
1.0,0.038875132747845535,0.18745279010458107,1
1.0,0.039071849896436556,0.18745231128704964,1
1.0,0.039269562479224585,0.18745182761498996,1
1.0,0.03946827553333648,0.18745133903922012,1
1.0,0.039667994121388196,0.18745084551006058,1
1.0,0.03986872333161365,0.1874503469773293,1
1.0,0.04007046827799442,0.18744984339033663,1
1.0,0.040273234100389986,0.18744933469788005,1
1.0,0.040477025964668734,0.18744882084823933,1
1.0,0.04068184906283952,0.18744830178917088,1
1.0,0.040887708613183964,0.1874477774679028,1
1.0,0.041094609860389396,0.18744724783112945,1
1.0,0.04130255807568248,0.1874467128250059,1
1.0,0.04151155855696349,0.1874461723951429,1
1.0,0.04172161662894135,0.18744562648660099,1
1.0,0.04193273764326915,0.18744507504388505,1
1.0,0.04214492697868065,0.18744451801093887,1
1.0,0.042358190041127224,0.18744395533113942,1
1.0,0.04257253226391564,0.18744338694729085,1
1.0,0.04278795910784637,0.1874428128016193,1
1.0,0.04300447606135288,0.18744223283576647,1
1.0,0.043222088640641344,0.18744164699078414,1
1.0,0.043440802389831217,0.187441055207128,1
1.0,0.04366062288109647,0.18744045742465174,1
1.0,0.043881555714807584,0.18743985358260112,1
1.0,0.044103606519674175,0.1874392436196074,1
1.0,0.04432678095288846,0.18743862747368176,1
1.0,0.04455108470026934,0.18743800508220854,1
1.0,0.04477652347640727,0.18743737638193922,1
1.0,0.045003103024809865,0.1874367413089859,1
1.0,0.04523082911804822,0.18743609979881495,1
1.0,0.04545970755790392,0.18743545178624044,1
1.0,0.04568974417551696,0.18743479720541759,1
1.0,0.04592094483153424,0.18743413598983624,1
1.0,0.0461533154162589,0.18743346807231395,1
1.0,0.046386861849800315,0.18743279338498944,1
1.0,0.04662159008222504,0.18743211185931558,1
1.0,0.04685750609370832,0.18743142342605257,1
1.0,0.047094615894686456,0.18743072801526103,1
1.0,0.04733292552600998,0.18743002555629484,1
1.0,0.047572441059097484,0.18742931597779408,1
1.0,0.04781316859609036,0.18742859920767782,1
1.0,0.04805511427000824,0.18742787517313703,1
1.0,0.048298284244905246,0.18742714380062694,1
1.0,0.04854268471602706,0.1874264050158599,1
1.0,0.0487883219099687,0.18742565874379788,1
1.0,0.04903520208483325,0.18742490490864472,1
1.0,0.049283331530391154,0.18742414343383884,1
1.0,0.04953271656824061,0.1874233742420452,1
1.0,0.04978336355196857,0.18742259725514765,1
1.0,0.05003527886731259,0.18742181239424133,1
1.0,0.05028846893232349,0.18742101957962426,1
1.0,0.05054294019752895,0.1874202187307897,1
1.0,0.050798699146097824,0.18741940976641794,1
1.0,0.05105575229400527,0.18741859260436808,1
1.0,0.051314106190198785,0.18741776716166983,1
1.0,0.051573767416765066,0.18741693335451526,1
1.0,0.05183474258909768,0.18741609109825022,1
1.0,0.05209703835606563,0.18741524030736587,1
1.0,0.052360661400182695,0.18741438089549023,1
1.0,0.05262561843777775,0.1874135127753793,1
1.0,0.052891916219165835,0.18741263585890852,1
1.0,0.05315956152882014,0.1874117500570638,1
1.0,0.053428561185544884,0.1874108552799325,1
1.0,0.05369892204264893,0.18740995143669467,1
1.0,0.05397065098812055,0.18740903843561363,1
1.0,0.0542437549448028,0.1874081161840271,1
1.0,0.05451824087056993,0.1874071845883376,1
1.0,0.05479411575850459,0.18740624355400318,1
1.0,0.0550713866370761,0.18740529298552805,1
1.0,0.05535006057031944,0.18740433278645277,1
1.0,0.05563014465801524,0.18740336285934484,1
1.0,0.05591164603587065,0.18740238310578883,1
1.0,0.05619457187570116,0.1874013934263764,1
1.0,0.056478929385613295,0.18740039372069653,1
1.0,0.05676472581018826,0.18739938388732535,1
1.0,0.05705196843066651,0.187398363823816,1
1.0,0.05734066456513328,0.18739733342668838,1
1.0,0.057630821568704985,0.1873962925914189,1
1.0,0.05792244683371666,0.18739524121242973,1
1.0,0.058215547789910185,0.18739417918307857,1
1.0,0.058510131904623716,0.1873931063956477,1
1.0,0.058806206682981865,0.18739202274133349,1
1.0,0.059103779668086914,0.1873909281102352,1
