curve,d,kappa,n_s,alpha_s,ln_S_R
numerical,0.3,1e-09,0.9953226433741618,-0.0014289363128821009,45.72872688652595
numerical,0.3,1.333521432163324e-09,0.9948952286936823,-0.0015438838507968455,45.727319918230776
numerical,0.3,1.7782794100389228e-09,0.994432374478357,-0.0016748968865849534,45.725784941010794
numerical,0.3,2.3713737056616553e-09,0.9939296493490501,-0.0018208511542967543,45.72411110895311
numerical,0.3,3.1622776601683795e-09,0.9933827854854291,-0.0019816453957792746,45.72228633143838
numerical,0.3,4.216965034285823e-09,0.9927874542005126,-0.0021577601378304223,45.720297284525785
numerical,0.3,5.623413251903491e-09,0.9921391203160055,-0.0023501202964029133,45.718129372053326
numerical,0.3,7.498942093324558e-09,0.9914329492836678,-0.0025598651300393627,45.71576665060517
numerical,0.3,1e-08,0.9906637432905168,-0.002788377937992692,45.71319173490322
numerical,0.3,1.333521432163324e-08,0.9898258805452778,-0.0030372114671992634,45.7103856837278
numerical,0.3,1.7782794100389228e-08,0.9889132727287069,-0.003308059265958896,45.70732787148336
numerical,0.3,2.371373705661655e-08,0.9879193145537934,-0.003602818855309664,45.703995847450194
numerical,0.3,3.162277660168379e-08,0.9868368356144304,-0.003923516701122232,45.700365179121164
numerical,0.3,4.2169650342858225e-08,0.985658057103473,-0.0042723587521997786,45.69640928397114
numerical,0.3,5.6234132519034905e-08,0.9843745402867135,-0.004651727184678656,45.692099246729846
numerical,0.3,7.498942093324559e-08,0.9829771308680986,-0.0050642116135142246,45.6874036218219
numerical,0.3,1e-07,0.9814559040515887,-0.00551257888270662,45.682288219051784
numerical,0.3,1.333521432163324e-07,0.9798001052640992,-0.005999830525793115,45.676715873989096
numerical,0.3,1.7782794100389227e-07,0.9779980865654831,-0.006529173618973871,45.67064619952174
numerical,0.3,2.3713737056616554e-07,0.9760372417353089,-0.0071040642216368965,45.6640353198702
numerical,0.3,3.162277660168379e-07,0.9739039336802215,-0.007728208542736148,45.6568355842743
numerical,0.3,4.2169650342858225e-07,0.9715834239012593,-0.008405559378015681,45.648995259986826
numerical,0.3,5.62341325190349e-07,0.9690597917645354,-0.009140374141137109,45.6404582044113
numerical,0.3,7.498942093324558e-07,0.9663158610244125,-0.009937124928307561,45.63116351304401
numerical,0.3,1e-06,0.9633331185663399,-0.010800635048783036,45.62104514802901
numerical,0.3,1.333521432163324e-06,0.9600916228136627,-0.011735997712603918,45.61003153916106
numerical,0.3,1.778279410038923e-06,0.9565699285537441,-0.012748573183116285,45.598045161978895
numerical,0.3,2.3713737056616552e-06,0.9527450027225544,-0.013844037034943746,45.58500209335996
numerical,0.3,3.162277660168379e-06,0.9485921364844496,-0.015028351276413332,45.570811541548665
numerical,0.3,4.216965034285822e-06,0.944084869166073,-0.016307725990054145,45.55537535252162
numerical,0.3,5.623413251903491e-06,0.9391949136191835,-0.017688639873603584,45.53858749538037
numerical,0.3,7.498942093324558e-06,0.9338920868288172,-0.019177781779902148,45.52033352604762
numerical,0.3,1e-05,0.928144251189837,-0.02078203497379505,45.500490033258394
numerical,0.3,1.333521432163324e-05,0.9219172728572356,-0.022508382855233933,45.478924068987396
numerical,0.3,1.778279410038923e-05,0.9151749881229825,-0.02436393264888359,45.455492569752586
numerical,0.3,2.3713737056616554e-05,0.9078791946435065,-0.026355726072235797,45.430041769160006
numerical,0.3,3.1622776601683795e-05,0.8999896717466411,-0.02849072987269352,45.40240661460865
numerical,0.3,4.216965034285822e-05,0.8914642291264077,-0.030775644387581735,45.37241019147424
numerical,0.3,5.623413251903491e-05,0.8822587892733771,-0.0332168561681101,45.33986316835312
numerical,0.3,7.498942093324559e-05,0.872327515765551,-0.03582016490041706,45.30456326988953
numerical,0.3,0.0001,0.8616230039569519,-0.03859064086796149,45.26629479729063
fit,0.3,1e-09,0.9952206308823058,-0.0014286788262553862,
fit,0.3,1.0292747724096099e-09,0.9951792294915768,-0.0014410099437651702,
fit,0.3,1.0594065571188498e-09,0.9951374707650468,-0.0014534470154340742,
fit,0.3,1.0904204429677525e-09,0.995095351641976,-0.001465990300313899,
fit,0.3,1.1223422532664196e-09,0.9950528690340379,-0.0014786413042128625,
fit,0.3,1.155198567296478e-09,0.9950100198296132,-0.0014914009356382305,
fit,0.3,1.1890167424419898e-09,0.9949668008868583,-0.0015042691749024666,
fit,0.3,1.223824936968195e-09,0.9949232090415322,-0.0015172482347541039,
fit,0.3,1.2596521334671388e-09,0.9948792411001053,-0.001530337930402411,
fit,0.3,1.296528162989669e-09,0.9948348938425916,-0.00154353999142718,
fit,0.3,1.334483729883841e-09,0.9947901640203218,-0.0015568547418650693,
fit,0.3,1.3735504373605121e-09,0.9947450483629444,-0.0015702838837623155,
fit,0.3,1.4137608138073614e-09,0.9946995435646105,-0.0015838276539664187,
fit,0.3,1.4551483398731967e-09,0.9946536462992164,-0.0015974872715516161,
fit,0.3,1.4977474763452001e-09,0.9946073532065549,-0.0016112636547462693,
fit,0.3,1.5415936928422734e-09,0.9945606609019381,-0.0016251580787773855,
fit,0.3,1.5867234973483145e-09,0.9945135659701526,-0.001639171552664808,
fit,0.3,1.6331744666101668e-09,0.9944660649681705,-0.0016533045087049059,
fit,0.3,1.6809852774253655e-09,0.9944181544250347,-0.0016675584941042675,
fit,0.3,1.7301957388458909e-09,0.9943698308380554,-0.0016819340855869953,
fit,0.3,1.7808468253246811e-09,0.9943210906774501,-0.0016964324607787844,
fit,0.3,1.8329807108324374e-09,0.9942719303827084,-0.001711055223631179,
fit,0.3,1.8866408039732544e-09,0.9942223463630834,-0.0017258026004818051,
fit,0.3,1.9418717841282546e-09,0.9941723349989106,-0.0017406759744709455,
fit,0.3,1.9987196386572525e-09,0.9941218926396506,-0.0017556764981583595,
fit,0.3,2.057231701189553e-09,0.9940710156023563,-0.0017708051515995075,
fit,0.3,2.117456691035712e-09,0.9940197001763916,-0.001786062842808682,
fit,0.3,2.179444753752988e-09,0.9939679426187311,-0.0018014510639751402,
fit,0.3,2.2432475028984158e-09,0.9939157391520039,-0.001816970591810893,
fit,0.3,2.3089180630041926e-09,0.9938630859721892,-0.0018326224404180969,
fit,0.3,2.376511113811078e-09,0.9938099792402216,-0.0018484080147472652,
fit,0.3,2.4460829357967956e-09,0.9937564150862176,-0.0018643282644583772,
fit,0.3,2.517691457037277e-09,0.9937023896062908,-0.0018803842256116358,
fit,0.3,2.5913963014396624e-09,0.9936478988661218,-0.0018965772718242853,
fit,0.3,2.6672588383874027e-09,0.9935929388957634,-0.0019129084440906302,
fit,0.3,2.745342233838714e-09,0.9935375056952092,-0.0019293784618352738,
fit,0.3,2.825711502920833e-09,0.9934815952289716,-0.0019459894449922223,
fit,0.3,2.908433564064045e-09,0.9934252034278304,-0.0019627418619765843,
fit,0.3,2.9935772947204903e-09,0.9933683261886896,-0.0019796368799538146,
fit,0.3,3.0812135887140084e-09,0.9933109593753026,-0.0019966761480244948,
fit,0.3,3.1714154152689956e-09,0.9932530988167597,-0.0020138602359055166,
fit,0.3,3.2642578797673237e-09,0.9931947403049426,-0.002031190871942694,
fit,0.3,3.359818286283788e-09,0.9931358796000872,-0.0020486693352121006,
fit,0.3,3.4581762019523772e-09,0.9930765124235096,-0.002066296414761186,
fit,0.3,3.559413523216862e-09,0.9930166344644015,-0.002084073568337428,
fit,0.3,3.6636145440207234e-09,0.9929562413733816,-0.002102002097862682,
fit,0.3,3.7708660259934516e-09,0.9928953287665919,-0.0021200832300592234,
fit,0.3,3.88125727069154e-09,0.9928338922217478,-0.0021383181642639047,
fit,0.3,3.9948801939541785e-09,0.9927719272818974,-0.002156708369671693,
fit,0.3,4.111829402435829e-09,0.9927094294511601,-0.0021752548746949048,
fit,0.3,4.23220227237928e-09,0.9926463941975433,-0.002193959197032889,
fit,0.3,4.356099030694617e-09,0.9925828169505134,-0.002212822574460784,
fit,0.3,4.4836228384119056e-09,0.9925186931036011,-0.0022318460104722784,
fit,0.3,4.614879876576943e-09,0.9924540180075964,-0.002251031682338426,
fit,0.3,4.7499794346614025e-09,0.9923887869797889,-0.0022703799401491316,
fit,0.3,4.8890340015614424e-09,0.9923229952946432,-0.002289892786352034,
fit,0.3,5.032159359259999e-09,0.9922566381912578,-0.002309571473575165,
fit,0.3,5.179474679231202e-09,0.9921897108651514,-0.0023294169054902253,
fit,0.3,5.331102621667033e-09,0.9921222084739533,-0.002349431450819891,
fit,0.3,5.4871694376086094e-09,0.9920541261362702,-0.0023696153890443786,
fit,0.3,5.647805074067546e-09,0.9919854589288049,-0.0023899710108250018,
